GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable,Percent Playable per dollar
GeForce RTX 2080 with Max-Q Design,13180,2099.99,7225,1445,83.33333333333334,0.0396827286479142
Quadro 5010M,1772,235.95,804,7866,9.273356401384083,0.03930220979607579
FirePro V9800,2727,474.0,1608,7062,18.546712802768166,0.03912808608178938
Quadro P620,3596,574.55,1919,6751,22.133794694348328,0.03852370497667449
GeForce GTX TITAN Z,8987,1515.0,5019,3651,57.88927335640138,0.038210741489373846
FirePro W4100,1546,184.0,604,8066,6.966551326412917,0.03786169199137455
Radeon R7 450,1939,299.0,981,7689,11.314878892733564,0.03784240432352363
Radeon HD 6990,3013,498.49,1635,7035,18.858131487889274,0.03783051111935901
Quadro K5000M,2763,508.91,1608,7062,18.546712802768166,0.03644399363889129
Quadro P400,1601,201.17,626,8044,7.220299884659746,0.03589153394969303
Quadro K3100M,2273,399.95,1228,7442,14.163783160322952,0.03541388463638693
GeForce GTX 260,1230,79.99,242,8428,2.7912341407151096,0.03489478860751481
FirePro 3D V8800,2438,424.99,1248,7422,14.394463667820071,0.033870123221299495
FirePro V5900,1270,86.0,249,8421,2.8719723183391004,0.0333950269574314
Radeon Pro SSG,10498,2410.15,6885,1785,79.41176470588235,0.03294888895126127
Tesla C2070,2840,604.0,1631,7039,18.81199538638985,0.03114568772581101
Radeon RX 570X,1923,376.87,981,7689,11.314878892733564,0.03002329422011188
Radeon HD 5830,1730,258.99,665,8005,7.6701268742791235,0.029615532932851164
Tesla C2075,3017,646.0,1635,7035,18.858131487889274,0.029192154006020547
FirePro M6000,1820,325.99,812,7858,9.365628604382929,0.028729803381646456
FirePro W9100,7928,1729.99,4272,4398,49.273356401384085,0.028481873537641308
Quadro P6000,15232,3250.0,7981,689,92.05305651672434,0.028324017389761334
GeForce GTX 950M,2583,567.0,1326,7344,15.294117647058824,0.026973752463948543
GeForce GT 740,1491,236.99,543,8127,6.262975778546713,0.026427173207927392
Radeon R9 M295X,5150,1449.0,3206,5464,36.978085351787776,0.025519727640985354
Radeon Pro,2325,579.99,1247,7423,14.382929642445214,0.024798582117700675
Radeon HD 6790,1606,294.0,631,8039,7.277970011534025,0.024755000039231378
RTX A6000,22874,4109.99,8609,61,99.29642445213379,0.02415977276152346
Quadro K2000,1570,294.0,605,8065,6.978085351787774,0.023734984189754334
Radeon Pro WX 4150,2381,610.04,1247,7423,14.382929642445214,0.02357702714976922
Radeon HD 5770,1344,189.99,378,8292,4.359861591695502,0.022947847737751995
FirePro V5800,1176,53.0,102,8568,1.1764705882352942,0.022197558268590455
Quadro RTX 8000,19402,4741.49,8534,136,98.4313725490196,0.020759586659261035
Quadro K2000D,1577,339.99,605,8065,6.978085351787774,0.02052438410479065
Barco MXRT 5600,2466,704.0,1248,7422,14.394463667820071,0.02044668134633533
Radeon Pro 555,3141,1049.0,1728,6942,19.930795847750865,0.018999805383937907
GeForce GTX 960M,3398,1169.0,1913,6757,22.064590542099193,0.018874756665610944
Quadro K5100M,3189,1108.84,1746,6924,20.13840830449827,0.01816168996834374
Tesla T4,10725,4420.77,6885,1785,79.41176470588235,0.01796333324418197
Quadro K3000M,1646,407.56,633,8037,7.3010380622837365,0.017914020174412938
FirePro W600,1662,414.99,633,8037,7.3010380622837365,0.01759328673530383
Quadro M6000,11741,4827.53,7159,1511,82.57208765859285,0.017104417302138537
Radeon HD 5750,1161,69.99,102,8568,1.1764705882352942,0.016809123992503134
Quadro 4000M,1324,232.06,322,8348,3.7139561707035758,0.016004292729051003
FirePro 3D V7800,1867,599.99,817,7853,9.423298731257209,0.01570575964808948
