GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable
Radeon R7 M260,491,799.0,540,3667,12.83574994057523
GeForce GT 540M,484,87.95,540,3667,12.83574994057523
Radeon HD 5570,483,179.99,538,3669,12.788210125980509
Radeon HD 7670M,474,629.99,515,3692,12.241502258141193
FirePro 3D V3800,472,149.99,515,3692,12.241502258141193
GeForce 9800 GT,467,74.99,515,3692,12.241502258141193
FirePro V5700,465,188.06,510,3697,12.122652721654385
Quadro FX 3700M,456,925.0,508,3699,12.075112907059662
GeForce 9800M GTX,454,328.5,508,3699,12.075112907059662
GeForce GT 320,452,32.69,508,3699,12.075112907059662
Quadro 410,441,129.0,503,3704,11.956263370572854
Quadro FX 4600,431,333.25,503,3704,11.956263370572854
GeForce GT 420,428,155.0,503,3704,11.956263370572854
GeForce 8800 GTS,422,79.99,502,3705,11.932493463275492
Quadro FX 2800M,421,190.0,502,3705,11.932493463275492
GeForce GT 330,401,39.99,502,3705,11.932493463275492
Quadro FX 1800,399,135.0,497,3710,11.813643926788686
GeForce GT 130,381,151.34,493,3714,11.718564297599238
Quadro FX 3700,381,213.27,493,3714,11.718564297599238
Radeon HD 4670,380,142.96,493,3714,11.718564297599238
Radeon HD 6490M,378,1193.03,492,3715,11.694794390301878
Quadro FX 2700M,377,99.95,492,3715,11.694794390301878
Radeon HD 5550,371,54.99,492,3715,11.694794390301878
GeForce GT 620,369,154.0,492,3715,11.694794390301878
GeForce 7950 GT,344,203.99,489,3718,11.623484668409793
Intel HD 4000,344,1592.95,489,3718,11.623484668409793
Radeon R5 235,342,60.13,359,3848,8.533396719752794
FirePro 3D V3750,341,50.88,359,3848,8.533396719752794
FireGL V5600,341,225.0,359,3848,8.533396719752794
FirePro RG220,335,650.18,359,3848,8.533396719752794
GeForce GT 705,335,296.76,359,3848,8.533396719752794
Radeon R4,333,396.99,359,3848,8.533396719752794
Radeon R5 310,332,499.0,357,3850,8.48585690515807
GeForce 9600 GSO,327,49.99,339,3868,8.057998573805563
GeForce GT 230,323,43.99,301,3906,7.154742096505824
FirePro V3800,321,124.99,301,3906,7.154742096505824
GeForce 605,318,136.83,301,3906,7.154742096505824
GeForce GT 520,307,304.0,301,3906,7.154742096505824
Quadro FX 3500M,306,99.99,298,3909,7.083432374613739
GeForce GT 610,305,139.99,298,3909,7.083432374613739
NVS 315,300,69.99,284,3923,6.750653672450678
GeForce 7800 GTX,291,71.6,283,3924,6.726883765153316
Radeon HD 7470,289,81.37,283,3924,6.726883765153316
Radeon HD 2600 XT,283,159.0,283,3924,6.726883765153316
GeForce GT 520M,282,29.95,279,3928,6.63180413596387
NVS 4200M,272,399.0,279,3928,6.63180413596387
Radeon HD 8490,263,89.99,279,3928,6.63180413596387
GeForce 510,260,69.99,278,3929,6.608034228666508
Quadro FX 3500,260,68.98,278,3929,6.608034228666508
GeForce 7900 GT,258,199.0,274,3933,6.512954599477062
Intel HD 3000,256,945.0,273,3934,6.4891846921797
NVS 310,249,62.06,235,3972,5.585928214879962
GeForce 7800 GT,244,80.0,233,3974,5.538388400285239
Quadro FX 5500,242,1999.0,229,3978,5.443308771095793
Radeon HD4650,240,152.9,229,3978,5.443308771095793
Mobile Intel HD,236,479.98,227,3980,5.39576895650107
Radeon HD 4550,236,156.0,227,3980,5.39576895650107
Quadro FX 570,233,115.0,224,3983,5.324459234608985
