GPU,Score,Price
Radeon RX 6850M,12274,0.0
Radeon Pro V520 MxGPU,12258,0.0
GeForce RTX 3050 OEM,12051,0.0
Radeon RX 5600 OEM,12038,0.0
Intel Arc A580,11987,427.98
GeForce RTX 2070 with Max-Q Design,11890,0.0
Quadro M6000 24GB,11879,0.0
Radeon Pro 5700,11844,0.0
Quadro M6000,11741,4827.53
GeForce GTX 1660,11713,266.73
Quadro P4000,11644,556.19
GeForce GTX 1080 with Max-Q Design,11571,0.0
Radeon RX 5600,11507,0.0
Tesla P40,11395,0.0
GeForce RTX 2060 (Mobile),11355,0.0
Radeon Pro Vega 48,11300,0.0
Quadro P4200 with Max-Q Design,11163,0.0
Quadro RTX 3000,11146,0.0
GeForce GTX 980,11140,247.35
CMP 40HX,11072,0.0
RTX A1000 Embedded GPU,11047,0.0
GRID P40-12Q,11028,0.0
RTX A2000 8GB Laptop GPU,10930,0.0
Tesla T4,10725,4420.77
GeForce RTX 3050 6GB Laptop GPU,10672,0.0
Radeon RX 7600M XT,10630,0.0
Radeon Pro SSG,10498,2410.15
Tesla M40 24GB,10475,0.0
GeForce GTX 1070 (Mobile),10465,0.0
Quadro P4200,10445,0.0
GeForce GTX 1660 Ti (Mobile),10211,0.0
Tesla M40,10183,600.0
GeForce RTX 3050 Ti Laptop GPU,10178,0.0
GeForce GTX 1650 SUPER,10114,184.05
GeForce GTX 1060,10075,279.99
GeForce GTX 1070 with Max-Q Design,10041,0.0
RTX A2000 Laptop GPU,10028,0.0
Radeon R9 Fury X,10017,0.0
RTX A1000 6GB Laptop GPU,9948,0.0
GRID P40-2B,9842,0.0
GeForce RTX 2060 with Max-Q Design,9784,0.0
GeForce GTX 1060 3GB,9760,269.99
Radeon R9 Fury + Fury X,9741,449.99
Radeon RX 6550M,9669,0.0
GeForce GTX 970,9643,237.99
Radeon R9 Fury,9620,443.1
Intel Arc A770,9568,393.23
RTX A1000 Laptop GPU,9548,0.0
Radeon RX 590,9492,549.99
Radeon RX 6500 XT,9487,179.99
GeForce GTX 780 Ti,9486,339.99
Radeon Ryzen 9 4900HSS,9461,0.0
Radeon R9 390X,9447,0.0
Radeon Pro 5600M,9415,0.0
Intel Arc Pro A60,9409,0.0
GeForce RTX 3050 Laptop GPU,9404,269.99
Quadro M5000,9388,499.0
Quadro P2200,9375,459.8
Intel Arc A730M,9258,0.0
Radeon RX 5500 XT,9181,184.99
Radeon Pro W5500,9134,409.99
Quadro P3200,9123,389.3
